2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,401 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,402 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,403 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,404 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,405 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,406 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,407 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,408 | root | INFO | Similituds trobades per a recomanació simple
